ID, NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_TEMPO_ADICIONAL,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025 ,TESTS_GRADE
679688,190001684332,2019,4201406,Araranguá,42,SC,18,F,1,1,1,4201406.0,Araranguá,42.0,SC,2,0,2,1.0,0,42076463.0,4201406.0,Araranguá,42.0,SC,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201406,Araranguá,42,SC,1,1,1,1,506.0,508.0,512.0,517.0,370.4,533.0,534.8,505.9,ECDAABCBDBECDABCBACABDDEADBEBDBEBEBBCDAABBEBE,ABACBDBDEACBDCDBDCBCEDDBBBCDEBCEBDEEACDABACAE,99999BCDDABCABBECECECAEDBCADEACEEBAABDCBEABDCAEABD,EABBDCEECDAACDBCADABCDABDDBCBBCCDDBBCCEACDCEC,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,120.0,140.0,120.0,180.0,140.0,700.0,C,D,C,C,3,G,A,B,C,A,A,B,B,B,B,B,A,B,C,B,A,D,B,B,B ,388.82
679887,190001684531,2019,4201406,Araranguá,42,SC,22,M,1,1,1,4314902.0,Porto Alegre,43.0,RS,1,2,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201406,Araranguá,42,SC,1,1,1,1,504.0,510.0,513.0,516.0,422.7,431.6,492.8,612.9,CDEBCDBDBAEEDEECBDCEBDDEDEABECBDCBEBCABAAABDD,AEBCAEEBDCDEAECCBEDEDAABEBABCEDAECDCDEBBBEEBD,DEBCA99999BBCDBEEAACCBDCAEAACEBDDAECEEECBBEDCDACEB,DEBEECAADBBCDADBABCADBABBEDCBCDCCDEDBEBDCEBDA,0,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,120.0,60.0,60.0,80.0,20.0,340.0,E,D,F,D,3,C,A,B,C,C,A,B,B,B,A,B,A,B,B,B,A,E,A,B,B ,392.0
679895,190001684539,2019,4201406,Araranguá,42,SC,18,F,1,3,1,4201406.0,Araranguá,42.0,SC,2,0,2,1.0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201406,Araranguá,42,SC,1,1,1,1,505.0,510.0,513.0,518.0,490.3,552.5,573.1,429.6,CBBCBEDCEEBCDDCBEEABDBBDBAADBDBEBCDBEADDDDCEA,AECCABDBACBEDBDACBABEDEAAEBEEEBCCECBAADECBDCB,99999DEACAABCCBCDACECBDEBDAAECABDEDBDEDECDEEADDEEC,ADCCADCBCDEDDCCDCBBBDCEDACDEECBEBEBBCEDDCBCDC,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,140.0,120.0,120.0,140.0,80.0,600.0,H,H,C,C,4,E,A,B,D,A,B,B,A,B,A,A,A,A,A,A,A,C,A,A,B ,409.1
679987,190001684631,2019,4201406,Araranguá,42,SC,29,M,0,1,1,4205407.0,Florianópolis,42.0,SC,1,5,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201406,Araranguá,42,SC,1,1,1,1,503.0,509.0,514.0,515.0,512.1,557.2,557.1,496.2,CEEDCBAEDDCBBDEBBEBBBACEDDBACCBBDCCBEDBDDDABB,ACBBCEBCABACADEEEBBABBAACCEACAECB*DBBBDDDEACD,99999BACEABBCDCEBDEBBAADDBDEBECADBACCDEDACDECCEEEE,ECBBCDCCADACDDEDADACACBBBBEDBEDCEADAEDABACBDE,1,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,120.0,120.0,120.0,120.0,100.0,580.0,H,C,F,C,3,E,A,C,C,B,A,B,A,B,A,B,A,B,B,B,A,D,A,B,B ,424.52
680012,190001684656,2019,4201406,Araranguá,42,SC,17,M,1,1,1,4201406.0,Araranguá,42.0,SC,2,0,2,1.0,0,42076463.0,4201406.0,Araranguá,42.0,SC,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201406,Araranguá,42,SC,1,1,1,1,506.0,508.0,512.0,517.0,457.4,580.4,545.9,570.2,DDBDDBDEDBECBDCABABCBAABAEAECECBCADCAAECECABA,ABACCDEBCAAEBCDADCBCDDBBDEBDEAAABBEBCACAEABEC,BBDDA99999CDABCECCECBEECDBDEEACDCBDCADEBECECCACEAD,AACACBECBCDEDCCCACDADDECCBDECACECDDABCECDBABE,0,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,120.0,120.0,80.0,120.0,100.0,540.0,G,E,D,C,4,E,A,B,D,A,B,B,B,B,B,B,A,A,B,A,B,D,A,C,B ,430.7799999999999
680304,190001684948,2019,4201406,Araranguá,42,SC,19,F,1,1,1,4201406.0,Araranguá,42.0,SC,1,1,1,1.0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201406,Araranguá,42,SC,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,F,B,B,4,C,A,B,C,A,A,B,A,B,B,B,A,A,B,A,A,D,A,B,B ,
680374,190001685018,2019,4201406,Araranguá,42,SC,18,M,1,2,1,4314902.0,Porto Alegre,43.0,RS,2,0,3,1.0,0,42076420.0,4201406.0,Araranguá,42.0,SC,4.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201406,Araranguá,42,SC,1,1,1,1,506.0,510.0,513.0,517.0,639.9,663.2,620.6,854.7,DEADBBAAEBECBEBCBCBCBCCADEAAABBDBBDECEEECCCEB,EEBCEDDBADEDCBABEAAECEEAADBEAECACACEEACBBADCE,ADBBE99999ABCCBBDAACCBDDDDAADCADACDEDEDEBEECBDBACC,AAADDBEEEAEDDBEBADCBCDBABEDEDECAECECBDCCEDBEA,0,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,160.0,200.0,200.0,200.0,180.0,940.0,E,F,F,D,3,D,A,B,D,A,A,B,A,A,A,B,A,A,B,A,B,D,A,B,B ,555.68
680453,190001685097,2019,4201406,Araranguá,42,SC,17,F,1,1,1,4201406.0,Araranguá,42.0,SC,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201406,Araranguá,42,SC,1,1,1,1,504.0,510.0,513.0,516.0,492.4,562.2,514.8,600.0,ECCCADBEBEBEEDDBCCBEEACEDAABBEBCCEDCAEBABBBAC,ECBCBEDBBCBEABAACEABDAABCDBDCECABACCBDDBDBDCB,DBBCA99999ABECECDDAEBDDBBACBDCEBDEDCAECCBAAEBDBAEE,BEEACBEADEABAEADCDCBCDACBECAABBBEDABBEBADEBBC,0,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,100.0,120.0,120.0,120.0,80.0,540.0,D,D,C,B,4,C,A,B,D,B,B,B,B,B,A,B,A,B,D,A,A,D,A,B,B ,433.87999999999994
680681,190001685325,2019,4201406,Araranguá,42,SC,19,F,1,1,1,4201406.0,Araranguá,42.0,SC,1,1,1,1.0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201406,Araranguá,42,SC,1,1,1,1,504.0,509.0,514.0,516.0,440.5,452.8,456.3,469.1,DEDCDDBBBABEECCEDDBDADDEDBADDECBEBCBDBEACBBAD,EEBCCEADDAACAAAAEAECBAECCCDDBECEBADEDABACCEDD,CCCCC99999BBAEAEDBBBEADCAEDCDECBAECEBDECCDCEBBCCBE,EBAEDBEDCCAAAAECDEEDACDEABBDDABCCBEDCEABBCDDE,0,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,120.0,120.0,120.0,120.0,160.0,640.0,D,E,B,B,4,E,A,B,C,B,A,B,B,B,A,A,A,A,B,A,A,C,A,A,B ,363.73999999999995
680773,190001685417,2019,4201406,Araranguá,42,SC,30,F,2,1,2,,,,,1,2,1,1.0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201406,Araranguá,42,SC,1,1,1,1,506.0,508.0,512.0,517.0,479.9,572.5,550.9,405.6,AEDBEEADECECBEDBABDEDAAACDAACCDBBACACEEEBDCAB,DBAAADADBEAABCABACBEEDBAAADBDACAEEEADEBCDDCDC,BDDDA99999CCADDECCACCBBDCEDACCEAEBDAADEEECADCACDBD,DBBADBEEDEACECDCBCECDBEDBDBDAEEDCDBCAAEDECECB,0,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,120.0,120.0,80.0,120.0,120.0,560.0,H,B,C,B,3,E,A,B,C,A,A,B,B,B,A,A,A,B,A,A,A,B,A,A,B ,401.78000000000003
